Reference_Date,Carrier,Geography
2024-06-17,CPKC,CPKC terminal area, Edmonton
2024-06-17,CPKC,CPKC terminal area, Lethbridge
2024-06-17,CPKC,CPKC terminal area, Montreal
2024-06-17,CPKC,CPKC terminal area, Moose Jaw
2024-06-17,CPKC,CPKC terminal area, Red Deer
2024-06-17,CPKC,CPKC terminal area, Toronto
2024-06-17,CPKC,CPKC terminal area, Vancouver
2024-06-17,CPKC,CPKC terminal area, Winnipeg
2024-06-24,CN,CN terminal area, Edmonton
2024-06-24,CN,CN terminal area, Kamloops
2024-06-24,CN,CN terminal area, Montreal
2024-06-24,CN,CN terminal area, Prince George
2024-06-24,CN,CN terminal area, Prince Rupert
2024-06-24,CN,CN terminal area, Sarnia
2024-06-24,CN,CN terminal area, Saskatoon
2024-06-24,CN,CN terminal area, Toronto
2024-06-24,CN,CN terminal area, Vancouver
2024-06-24,CN,CN terminal area, Winnipeg
2024-06-24,CPKC,CPKC terminal area, Calgary
2024-06-24,CPKC,CPKC terminal area, Edmonton
2024-06-24,CPKC,CPKC terminal area, Lethbridge
2024-06-24,CPKC,CPKC terminal area, Montreal
2024-06-24,CPKC,CPKC terminal area, Moose Jaw
2024-06-24,CPKC,CPKC terminal area, Red Deer
2024-06-24,CPKC,CPKC terminal area, Toronto
2024-06-24,CPKC,CPKC terminal area, Vancouver
2024-06-24,CPKC,CPKC terminal area, Winnipeg
2024-07-01,CN,CN terminal area, Edmonton
2024-07-01,CN,CN terminal area, Kamloops
2024-07-01,CN,CN terminal area, Montreal
2024-07-01,CN,CN terminal area, Prince George
2024-07-01,CN,CN terminal area, Prince Rupert
2024-07-01,CN,CN terminal area, Sarnia
2024-07-01,CN,CN terminal area, Saskatoon
2024-07-01,CN,CN terminal area, Toronto
2024-07-01,CN,CN terminal area, Vancouver
2024-07-01,CN,CN terminal area, Winnipeg
2024-07-01,CPKC,CPKC terminal area, Calgary
2024-07-01,CPKC,CPKC terminal area, Edmonton
2024-07-01,CPKC,CPKC terminal area, Lethbridge
2024-07-01,CPKC,CPKC terminal area, Montreal
2024-07-01,CPKC,CPKC terminal area, Moose Jaw
2024-07-01,CPKC,CPKC terminal area, Red Deer
2024-07-01,CPKC,CPKC terminal area, Toronto
2024-07-01,CPKC,CPKC terminal area, Vancouver
2024-07-01,CPKC,CPKC terminal area, Winnipeg
2024-07-08,CN,CN terminal area, Edmonton
2024-07-08,CN,CN terminal area, Kamloops
2024-07-08,CN,CN terminal area, Montreal
2024-07-08,CN,CN terminal area, Prince George
2024-07-08,CN,CN terminal area, Prince Rupert
2024-07-08,CN,CN terminal area, Sarnia
2024-07-08,CN,CN terminal area, Saskatoon
2024-07-08,CN,CN terminal area, Toronto
2024-07-08,CN,CN terminal area, Vancouver
2024-07-08,CN,CN terminal area, Winnipeg
2024-07-08,CPKC,CPKC terminal area, Calgary
2024-07-08,CPKC,CPKC terminal area, Edmonton
2024-07-08,CPKC,CPKC terminal area, Lethbridge
2024-07-08,CPKC,CPKC terminal area, Montreal
2024-07-08,CPKC,CPKC terminal area, Moose Jaw
2024-07-08,CPKC,CPKC terminal area, Red Deer
2024-07-08,CPKC,CPKC terminal area, Toronto
2024-07-08,CPKC,CPKC terminal area, Vancouver
2024-07-08,CPKC,CPKC terminal area, Winnipeg
2024-07-15,CN,CN terminal area, Edmonton
2024-07-15,CN,CN terminal area, Kamloops
2024-07-15,CN,CN terminal area, Montreal
2024-07-15,CN,CN terminal area, Prince George
2024-07-15,CN,CN terminal area, Prince Rupert
2024-07-15,CN,CN terminal area, Sarnia
2024-07-15,CN,CN terminal area, Saskatoon
2024-07-15,CN,CN terminal area, Toronto
2024-07-15,CN,CN terminal area, Vancouver
2024-07-15,CN,CN terminal area, Winnipeg
2024-07-15,CPKC,CPKC terminal area, Calgary
2024-07-15,CPKC,CPKC terminal area, Edmonton
2024-07-15,CPKC,CPKC terminal area, Lethbridge
2024-07-15,CPKC,CPKC terminal area, Montreal
2024-07-15,CPKC,CPKC terminal area, Moose Jaw
2024-07-15,CPKC,CPKC terminal area, Red Deer
2024-07-15,CPKC,CPKC terminal area, Toronto
2024-07-15,CPKC,CPKC terminal area, Vancouver
2024-07-15,CPKC,CPKC terminal area, Winnipeg
2024-07-22,CN,CN terminal area, Edmonton
2024-07-22,CN,CN terminal area, Kamloops
2024-07-22,CN,CN terminal area, Montreal
2024-07-22,CN,CN terminal area, Prince George
2024-07-22,CN,CN terminal area, Prince Rupert
2024-07-22,CN,CN terminal area, Sarnia
